City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
119,Margaret River,-33.95,115.0667,71.53,49,0,11.86,AU,1697176921
120,Puerto Ayora,-0.7393,-90.3518,74.05,84,44,7.36,EC,1697176921
121,Vila Franca do Campo,37.7167,-25.4333,67.87,99,100,4.34,PT,1697176922
122,Luwuk,-0.9516,122.7875,86.05,63,67,8.9,ID,1697176922
123,Ilulissat,69.2167,-51.1,28.42,59,100,5.75,GL,1697176922
124,Udachny,66.4167,112.4,19.45,72,97,3.6,RU,1697176922
125,Kayangel,8.0823,134.7173,83.26,77,75,15.82,PW,1697176923
126,Arraial do Cabo,-22.9661,-42.0278,71.89,97,100,15.5,BR,1697176899
127,Ippy,6.2679,21.2247,68.56,96,100,6.08,CF,1697176923
128,Enewetak,11.3474,162.3373,83.61,67,53,10.67,MH,1697176923
129,Dankalwa,11.7443,12.1867,79.99,46,73,2.59,NG,1697176923
130,Praia da Vitória,38.7333,-27.0667,65.75,94,20,2.95,PT,1697176923
131,Bismarck,46.8083,-100.7837,43.66,81,40,16.11,US,1697176808
132,Tazovsky,67.4667,78.7,34.83,78,100,7.29,RU,1697176924
133,Souillac,-20.5167,57.5167,77.38,69,75,4.61,MU,1697176924
134,Hirara,24.8,125.2833,84.06,61,40,11.5,JP,1697176924
135,Srikakulam,18.3,83.9,88.29,57,8,4.21,IN,1697176924
136,Paka,4.6374,103.4368,93.13,62,20,3.44,MY,1697176924
137,Kingston,17.997,-76.7936,85.15,84,20,11.5,JM,1697176818
138,Tura,25.5198,90.2201,83.37,55,0,4.29,IN,1697176925
139,Okhotsk,59.3833,143.3,30.13,80,100,11.65,RU,1697176925
140,Hutchinson Island South,27.2995,-80.2205,83.08,89,75,3.0,US,1697176925
141,Jamestown,42.097,-79.2353,46.71,89,0,8.05,US,1697176666
142,Smithers,54.7804,-127.1743,39.52,100,20,0.0,CA,1697176819
143,Berezovyy,51.6667,135.7,60.93,44,95,13.15,RU,1697176925
144,Gombi,10.1614,12.7399,74.53,65,76,0.92,NG,1697176925
145,Flying Fish Cove,-10.4217,105.6791,82.08,78,100,12.66,CX,1697176925
146,Cologne,50.9333,6.95,66.74,90,40,10.36,DE,1697176648
147,Boa Vista,2.8197,-60.6733,84.18,61,0,4.61,BR,1697176861
148,Banda Aceh,5.5577,95.3222,82.76,77,93,5.55,ID,1697176926
149,Kinablangan,7.6947,126.5503,84.18,75,100,7.92,PH,1697176926
150,Teguise,29.0605,-13.564,71.82,38,0,8.05,ES,1697176926
151,Hadibu,12.65,54.0333,81.73,77,60,6.42,YE,1697176926
152,Belmonte,-15.8631,-38.8828,73.35,87,17,8.88,BR,1697176926
153,Bedelē,8.456,36.353,62.55,85,4,3.47,ET,1697176927
154,Iguape,-24.7081,-47.5553,66.78,92,100,12.77,BR,1697176927
155,Tugulym,57.0591,64.6425,39.33,74,100,14.23,RU,1697176927
156,Rongelap,11.1635,166.8941,83.01,74,69,8.37,MH,1697176927
157,Zeya,53.75,127.2667,56.48,48,86,5.66,RU,1697176927
158,Distrikt Brokopondo,4.75,-55.1667,77.63,81,24,8.12,SR,1697176927
159,Sarupathar,26.1984,93.8094,88.02,65,2,2.17,IN,1697176928
160,Aykhal,66.0,111.5,24.06,78,78,11.01,RU,1697176928
161,Wynyard,-41.0,145.7167,57.99,56,41,12.86,AU,1697176928
162,Mahina,-17.5065,-149.489,80.37,69,40,4.61,PF,1697176928
163,Severo-Yeniseyskiy,60.3725,93.0408,38.57,91,100,14.0,RU,1697176928
164,Kaédi,16.1465,-13.5047,86.49,53,88,6.87,MR,1697176928
165,Kumul,42.8,93.45,74.73,17,0,3.74,CN,1697176929
166,Baise City,23.8997,106.6133,73.15,83,100,1.21,CN,1697176929
167,Ed Damer,17.5928,33.9592,91.15,26,0,15.21,SD,1697176929
168,Igbara-Odo,7.5025,5.0626,70.61,95,100,2.08,NG,1697176929
169,Bikenibeu Village,1.3673,173.1241,87.76,70,40,3.44,KI,1697176929
170,Altay,47.8667,88.1167,67.26,27,96,5.91,CN,1697176929
171,Geraldton,-28.7667,114.6,93.61,17,1,20.71,AU,1697176930
172,Kapuskasing,49.4169,-82.4331,44.69,93,75,3.44,CA,1697176930
173,Mount Pearl,47.5166,-52.7813,53.33,99,100,4.61,CA,1697176930
174,Ilām,26.9167,87.9167,71.96,77,24,4.63,NP,1697176930
175,Yoko,5.5333,12.3167,65.01,98,66,2.24,CM,1697176930
176,Tileagd,47.0667,22.2,58.55,56,100,5.32,RO,1697176931
177,Saldanha,-33.0117,17.9442,48.25,69,9,1.81,ZA,1697176931
178,Buenaventura,3.8801,-77.0312,75.33,95,14,1.86,CO,1697176931
179,Mahabalipuram,12.6264,80.1722,89.06,62,66,7.65,IN,1697176931
180,Codajás,-3.8367,-62.0569,76.05,76,25,1.88,BR,1697176931
181,San Pedro Pochutla,15.7333,-96.4667,77.14,91,98,6.98,MX,1697176931
182,Kloulklubed,7.0419,134.2556,82.8,80,37,14.88,PW,1697176932
183,Lihue,21.9789,-159.3672,78.04,82,6,11.48,US,1697176932
184,Dobroslav,46.8194,30.9432,57.87,73,76,8.61,UA,1697176932
185,Lüderitz,-26.6481,15.1594,59.34,69,33,16.46,NA,1697176932
186,Iskateley,67.6803,53.1512,34.02,76,100,8.99,RU,1697176932
187,Ingeniero Jacobacci,-41.3427,-69.5448,50.83,39,72,8.55,AR,1697176932
188,Qaqortoq,60.7167,-46.0333,35.56,68,59,6.67,GL,1697176933
189,Amga,60.8953,131.9608,35.98,97,95,1.99,RU,1697176933
190,Malango,-2.9627,119.9001,80.24,61,73,3.27,ID,1697176933
191,Östersund,63.1792,14.6357,37.85,75,0,6.91,SE,1697176818
192,Verāval,20.9,70.3667,86.7,62,6,4.7,IN,1697176933
193,Coahuayana de Hidalgo,18.7,-103.6583,75.18,93,5,3.27,MX,1697176934
194,Hobyo,5.3505,48.5268,83.16,71,18,6.44,SO,1697176934
195,Kidal,18.4411,1.4078,81.46,15,32,7.65,ML,1697176934
196,Pemangkat,1.1667,108.9667,85.51,69,93,10.18,ID,1697176934
197,Urucará,-2.5364,-57.76,77.63,64,83,2.86,BR,1697176935
198,Lae,-6.7221,146.9847,81.97,80,33,7.11,PG,1697176935
199,Jequié,-13.8575,-40.0836,69.55,86,66,1.61,BR,1697176935
200,Assab,13.0092,42.7394,86.95,67,75,21.36,ER,1697176669
201,Poço Branco,-5.6228,-35.6628,75.15,95,18,6.91,BR,1697176936
202,Khandyga,62.6667,135.6,30.49,91,99,5.57,RU,1697176936
203,Macheng,31.1783,115.0319,73.54,55,95,6.24,CN,1697176936
204,La Santisima Trinidad,-14.8333,-64.9,74.79,89,56,3.78,BO,1697176936
205,Kapaa,22.0752,-159.319,78.78,82,5,10.8,US,1697176937
206,Gadzhiyevo,69.2551,33.3362,38.89,71,100,20.58,RU,1697176937
207,East London,-33.0153,27.9116,67.14,63,0,20.71,ZA,1697176851
208,Darhan,49.4867,105.9228,60.87,37,3,13.82,MN,1697176937
209,Laguna,38.421,-121.4238,64.38,62,0,0.0,US,1697176937
210,Kaitong,44.8135,123.15,70.39,35,9,7.85,CN,1697176938
211,Punta Arenas,-53.15,-70.9167,44.71,81,40,17.27,CL,1697176938
212,Keflavik,64.0049,-22.5624,37.31,69,75,26.46,IS,1697176938
213,Jishu,44.3167,126.8,66.9,34,0,6.04,CN,1697176938
214,Zhengjiatun,43.5064,123.5064,66.96,48,95,15.37,CN,1697176938
215,Rio Grande,-32.035,-52.0986,45.95,59,100,8.57,BR,1697176938
216,Whakatane,-37.9585,176.9854,62.89,82,0,4.94,NZ,1697176939
217,Chongwe,-15.3292,28.682,83.97,27,52,7.43,ZM,1697176939
218,Nanchong,30.7951,106.0847,69.67,66,100,3.04,CN,1697176939
219,Mount Gambier,-37.8333,140.7667,57.34,79,100,11.79,AU,1697176939
220,Ulsteinvik,62.3432,5.8487,50.9,79,100,14.58,NO,1697176939
221,Sinabang,2.4803,96.3801,81.34,80,92,8.39,ID,1697176939
222,La Sarre,48.8002,-79.1996,40.28,98,80,5.91,CA,1697176940
223,Sault Ste. Marie,46.5168,-84.3333,39.76,92,0,0.0,CA,1697176707
224,Diffa,13.3154,12.6113,85.21,30,32,7.72,NE,1697176940
225,La Passe,45.5549,-0.8967,62.98,53,15,13.27,FR,1697176940
226,Nuuk,64.1835,-51.7216,35.26,81,100,10.85,GL,1697176940
227,Ciudad Bolivar,8.1222,-63.5497,80.4,77,29,9.37,VE,1697176942
